Front,Back
お世話になっております,"Meaning: Thank you for your continued support
Example: お世話になっております。本件について後ほどご連絡いたします。
English: Thank you for your continued support. I will contact you later regarding this matter."
確認いたします,"Meaning: I will check
Example: 確認いたします。本件について後ほどご連絡いたします。
English: I will check. I will contact you later regarding this matter."
承知しました,"Meaning: Understood
Example: 承知しました。本件について後ほどご連絡いたします。
English: Understood. I will contact you later regarding this matter."
恐れ入りますが,"Meaning: Sorry to trouble you, but
Example: 恐れ入りますが。本件について後ほどご連絡いたします。
English: Sorry to trouble you, but. I will contact you later regarding this matter."
ご確認ください,"Meaning: Please check
Example: ご確認ください。本件について後ほどご連絡いたします。
English: Please check. I will contact you later regarding this matter."
かしこまりました,"Meaning: Certainly
Example: かしこまりました。本件について後ほどご連絡いたします。
English: Certainly. I will contact you later regarding this matter."
ご都合はいかがでしょうか,"Meaning: How is your availability
Example: ご都合はいかがでしょうか。本件について後ほどご連絡いたします。
English: How is your availability. I will contact you later regarding this matter."
申し訳ございません,"Meaning: I sincerely apologize
Example: 申し訳ございません。本件について後ほどご連絡いたします。
English: I sincerely apologize. I will contact you later regarding this matter."
検討いたします,"Meaning: I will consider it
Example: 検討いたします。本件について後ほどご連絡いたします。
English: I will consider it. I will contact you later regarding this matter."
よろしくお願いいたします,"Meaning: Thank you in advance
Example: よろしくお願いいたします。本件について後ほどご連絡いたします。
English: Thank you in advance. I will contact you later regarding this matter."
お世話になっております,"Meaning: Thank you for your continued support
Example: お世話になっております。本件について後ほどご連絡いたします。
English: Thank you for your continued support. I will contact you later regarding this matter."
確認いたします,"Meaning: I will check
Example: 確認いたします。本件について後ほどご連絡いたします。
English: I will check. I will contact you later regarding this matter."
承知しました,"Meaning: Understood
Example: 承知しました。本件について後ほどご連絡いたします。
English: Understood. I will contact you later regarding this matter."
恐れ入りますが,"Meaning: Sorry to trouble you, but
Example: 恐れ入りますが。本件について後ほどご連絡いたします。
English: Sorry to trouble you, but. I will contact you later regarding this matter."
ご確認ください,"Meaning: Please check
Example: ご確認ください。本件について後ほどご連絡いたします。
English: Please check. I will contact you later regarding this matter."
かしこまりました,"Meaning: Certainly
Example: かしこまりました。本件について後ほどご連絡いたします。
English: Certainly. I will contact you later regarding this matter."
ご都合はいかがでしょうか,"Meaning: How is your availability
Example: ご都合はいかがでしょうか。本件について後ほどご連絡いたします。
English: How is your availability. I will contact you later regarding this matter."
申し訳ございません,"Meaning: I sincerely apologize
Example: 申し訳ございません。本件について後ほどご連絡いたします。
English: I sincerely apologize. I will contact you later regarding this matter."
検討いたします,"Meaning: I will consider it
Example: 検討いたします。本件について後ほどご連絡いたします。
English: I will consider it. I will contact you later regarding this matter."
よろしくお願いいたします,"Meaning: Thank you in advance
Example: よろしくお願いいたします。本件について後ほどご連絡いたします。
English: Thank you in advance. I will contact you later regarding this matter."
お世話になっております,"Meaning: Thank you for your continued support
Example: お世話になっております。本件について後ほどご連絡いたします。
English: Thank you for your continued support. I will contact you later regarding this matter."
確認いたします,"Meaning: I will check
Example: 確認いたします。本件について後ほどご連絡いたします。
English: I will check. I will contact you later regarding this matter."
承知しました,"Meaning: Understood
Example: 承知しました。本件について後ほどご連絡いたします。
English: Understood. I will contact you later regarding this matter."
恐れ入りますが,"Meaning: Sorry to trouble you, but
Example: 恐れ入りますが。本件について後ほどご連絡いたします。
English: Sorry to trouble you, but. I will contact you later regarding this matter."
ご確認ください,"Meaning: Please check
Example: ご確認ください。本件について後ほどご連絡いたします。
English: Please check. I will contact you later regarding this matter."
かしこまりました,"Meaning: Certainly
Example: かしこまりました。本件について後ほどご連絡いたします。
English: Certainly. I will contact you later regarding this matter."
ご都合はいかがでしょうか,"Meaning: How is your availability
Example: ご都合はいかがでしょうか。本件について後ほどご連絡いたします。
English: How is your availability. I will contact you later regarding this matter."
申し訳ございません,"Meaning: I sincerely apologize
Example: 申し訳ございません。本件について後ほどご連絡いたします。
English: I sincerely apologize. I will contact you later regarding this matter."
検討いたします,"Meaning: I will consider it
Example: 検討いたします。本件について後ほどご連絡いたします。
English: I will consider it. I will contact you later regarding this matter."
よろしくお願いいたします,"Meaning: Thank you in advance
Example: よろしくお願いいたします。本件について後ほどご連絡いたします。
English: Thank you in advance. I will contact you later regarding this matter."
